kind,project,local_path,id_or_uid,view_url,api_url,metadata_json,uploaded_at
video,added,mirrors/cat_mirror2.mp4,11db52df832e4cc3b6a1f283157d0258,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/11db52df832e4cc3b6a1f283157d0258/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/11db52df832e4cc3b6a1f283157d0258,"{""project"": ""added"", ""source"": ""mirrors/cat_mirror2.mp4"", ""name"": ""cat_mirror2.mp4""}",2025-08-09T20:03:42.035368+00:00
video,added,mirrors/compilation.mp4,01f5ae184b8c43e69087015dd2f89418,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/01f5ae184b8c43e69087015dd2f89418/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/01f5ae184b8c43e69087015dd2f89418,"{""project"": ""added"", ""source"": ""mirrors/compilation.mp4"", ""name"": ""compilation.mp4""}",2025-08-09T20:03:43.362841+00:00
video,added,other/duck_feeding_fish.mp4,1d8161ef904047bf8ec38bbbc9afeed6,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/1d8161ef904047bf8ec38bbbc9afeed6/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/1d8161ef904047bf8ec38bbbc9afeed6,"{""project"": ""added"", ""source"": ""other/duck_feeding_fish.mp4"", ""name"": ""duck_feeding_fish.mp4""}",2025-08-09T20:03:44.831652+00:00
video,added,mirrors/Cat Discovers Ears While Striking Pose in Mirror.mp4,be45cbfbd1f64fae9d9706aa1ce03550,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/be45cbfbd1f64fae9d9706aa1ce03550/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/be45cbfbd1f64fae9d9706aa1ce03550,"{""project"": ""added"", ""source"": ""mirrors/Cat Discovers Ears While Striking Pose in Mirror.mp4"", ""name"": ""Cat Discovers Ears While Striking Pose in Mirror.mp4""}",2025-08-09T20:04:05.947993+00:00
video,added,mirrors/cat_mirror.mp4,b3eb20cbd6a94c66b86e6e5e3def1ebf,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/b3eb20cbd6a94c66b86e6e5e3def1ebf/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/b3eb20cbd6a94c66b86e6e5e3def1ebf,"{""project"": ""added"", ""source"": ""mirrors/cat_mirror.mp4"", ""name"": ""cat_mirror.mp4""}",2025-08-09T20:04:06.810800+00:00
video,added,mirrors/horses_trying_to_trick_mirror.mp4,994a4fac09514466849a4e9e10c72511,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/994a4fac09514466849a4e9e10c72511/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/994a4fac09514466849a4e9e10c72511,"{""project"": ""added"", ""source"": ""mirrors/horses_trying_to_trick_mirror.mp4"", ""name"": ""horses_trying_to_trick_mirror.mp4""}",2025-08-09T20:04:12.163045+00:00
video,added,navigating_human_world/dog_with_stick_through_doors.mp4,3976a5d641294c93a8342e9da6e76e01,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/3976a5d641294c93a8342e9da6e76e01/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/3976a5d641294c93a8342e9da6e76e01,"{""project"": ""added"", ""source"": ""navigating_human_world/dog_with_stick_through_doors.mp4"", ""name"": ""dog_with_stick_through_doors.mp4""}",2025-08-09T20:05:09.774324+00:00
video,added,navigating_human_world/dog_waiting_for_traffic_signal.mp4,2edbe9634f29452fa57ade2780d0c114,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/2edbe9634f29452fa57ade2780d0c114/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/2edbe9634f29452fa57ade2780d0c114,"{""project"": ""added"", ""source"": ""navigating_human_world/dog_waiting_for_traffic_signal.mp4"", ""name"": ""dog_waiting_for_traffic_signal.mp4""}",2025-08-09T20:05:09.846625+00:00
video,added,navigating_human_world/pigeon_using_public_transportation.mp4,534f12b5418f44f5a6324ba65793f178,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/534f12b5418f44f5a6324ba65793f178/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/534f12b5418f44f5a6324ba65793f178,"{""project"": ""added"", ""source"": ""navigating_human_world/pigeon_using_public_transportation.mp4"", ""name"": ""pigeon_using_public_transportation.mp4""}",2025-08-09T20:05:10.433353+00:00
video,added,navigating_human_world/dog_moving_fence.mp4,c1c5216e10ce4266bce8b6ae77aa8861,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/c1c5216e10ce4266bce8b6ae77aa8861/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/c1c5216e10ce4266bce8b6ae77aa8861,"{""project"": ""added"", ""source"": ""navigating_human_world/dog_moving_fence.mp4"", ""name"": ""dog_moving_fence.mp4""}",2025-08-09T20:05:25.006132+00:00
video,added,navigating_human_world/crow_picking_up_trash.mp4,466f6fde163748d2a7365481193b19a4,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/466f6fde163748d2a7365481193b19a4/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/466f6fde163748d2a7365481193b19a4,"{""project"": ""added"", ""source"": ""navigating_human_world/crow_picking_up_trash.mp4"", ""name"": ""crow_picking_up_trash.mp4""}",2025-08-09T20:05:25.723761+00:00
video,added,navigating_human_world/pigeon_public_transit.mp4,eaa5b485645344809f9225326d20dac8,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/eaa5b485645344809f9225326d20dac8/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/eaa5b485645344809f9225326d20dac8,"{""project"": ""added"", ""source"": ""navigating_human_world/pigeon_public_transit.mp4"", ""name"": ""pigeon_public_transit.mp4""}",2025-08-09T20:06:17.755891+00:00
video,added,navigating_human_world/deer_crossing_the_street.mp4,c0f5977434994706bac6a7c84f66e0c5,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/c0f5977434994706bac6a7c84f66e0c5/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/c0f5977434994706bac6a7c84f66e0c5,"{""project"": ""added"", ""source"": ""navigating_human_world/deer_crossing_the_street.mp4"", ""name"": ""deer_crossing_the_street.mp4""}",2025-08-09T20:06:17.923514+00:00
video,added,bait/BlackCrownedNightHeronUsingBait.mp4,14b53ac26bfa4c5a908a2080199ccfbf,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/14b53ac26bfa4c5a908a2080199ccfbf/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/14b53ac26bfa4c5a908a2080199ccfbf,"{""project"": ""added"", ""source"": ""bait/BlackCrownedNightHeronUsingBait.mp4"", ""name"": ""BlackCrownedNightHeronUsingBait.mp4""}",2025-08-09T20:06:18.174438+00:00
video,added,bait/GreenHeronUsingBait.mp4,374532af24684af2968a739a111e85fa,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/374532af24684af2968a739a111e85fa/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/374532af24684af2968a739a111e85fa,"{""project"": ""added"", ""source"": ""bait/GreenHeronUsingBait.mp4"", ""name"": ""GreenHeronUsingBait.mp4""}",2025-08-09T20:06:33.481131+00:00
video,added,bait/green-heron_using_bait.mp4,65c6d015f31b4b94818632dbf60cbdeb,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/65c6d015f31b4b94818632dbf60cbdeb/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/65c6d015f31b4b94818632dbf60cbdeb,"{""project"": ""added"", ""source"": ""bait/green-heron_using_bait.mp4"", ""name"": ""green-heron_using_bait.mp4""}",2025-08-09T20:06:34.963775+00:00
video,added,communication/Squirrel asks dude for water.mp4,6f11398adacd47aca978d871e77ea7cb,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/6f11398adacd47aca978d871e77ea7cb/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/6f11398adacd47aca978d871e77ea7cb,"{""project"": ""added"", ""source"": ""communication/Squirrel asks dude for water.mp4"", ""name"": ""Squirrel asks dude for water.mp4""}",2025-08-09T20:06:39.094386+00:00
video,added,natural_tools/BirdSewingThreadAsTool.mp4,a3bb2e98c0214096ac65b08f7c1b2f72,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/a3bb2e98c0214096ac65b08f7c1b2f72/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/a3bb2e98c0214096ac65b08f7c1b2f72,"{""project"": ""added"", ""source"": ""natural_tools/BirdSewingThreadAsTool.mp4"", ""name"": ""BirdSewingThreadAsTool.mp4""}",2025-08-09T20:06:42.803537+00:00
video,added,natural_tools/ElephantCleanBetweenToesWithStick.mp4,04faa130f200456abf7d5b3df34e7cd6,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/04faa130f200456abf7d5b3df34e7cd6/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/04faa130f200456abf7d5b3df34e7cd6,"{""project"": ""added"", ""source"": ""natural_tools/ElephantCleanBetweenToesWithStick.mp4"", ""name"": ""ElephantCleanBetweenToesWithStick.mp4""}",2025-08-09T20:06:47.656768+00:00
video,added,play/cat_skateboarding.mp4,33452a8fa97d49efbf1b8e79f166c5f6,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/33452a8fa97d49efbf1b8e79f166c5f6/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/33452a8fa97d49efbf1b8e79f166c5f6,"{""project"": ""added"", ""source"": ""play/cat_skateboarding.mp4"", ""name"": ""cat_skateboarding.mp4""}",2025-08-09T20:06:53.852863+00:00
video,added,natural_tools/BirdsStickToScratchItch.mp4,356559866da94b70b11f1f85af724e10,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/356559866da94b70b11f1f85af724e10/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/356559866da94b70b11f1f85af724e10,"{""project"": ""added"", ""source"": ""natural_tools/BirdsStickToScratchItch.mp4"", ""name"": ""BirdsStickToScratchItch.mp4""}",2025-08-09T20:07:22.127127+00:00
video,added,natural_tools/puffin_stick.mp4,39ec8563b4fa42299483444ee0785bd5,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/39ec8563b4fa42299483444ee0785bd5/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/39ec8563b4fa42299483444ee0785bd5,"{""project"": ""added"", ""source"": ""natural_tools/puffin_stick.mp4"", ""name"": ""puffin_stick.mp4""}",2025-08-09T20:07:23.318182+00:00
video,added,natural_tools/octopus_hiding_with_shells.mp4,9c6c9e67008d450e9eeb1c78685c8f7b,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/9c6c9e67008d450e9eeb1c78685c8f7b/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/9c6c9e67008d450e9eeb1c78685c8f7b,"{""project"": ""added"", ""source"": ""natural_tools/octopus_hiding_with_shells.mp4"", ""name"": ""octopus_hiding_with_shells.mp4""}",2025-08-09T20:07:24.181795+00:00
video,added,play/ChimpPingPong.mp4,f329942b2aba42c5b6573b9e188b2f6b,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/f329942b2aba42c5b6573b9e188b2f6b/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/f329942b2aba42c5b6573b9e188b2f6b,"{""project"": ""added"", ""source"": ""play/ChimpPingPong.mp4"", ""name"": ""ChimpPingPong.mp4""}",2025-08-09T20:07:30.716612+00:00
video,added,play/dog_jenga.mp4,24bd3295cd3d4f5ba3ced3a55b4a7e58,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/24bd3295cd3d4f5ba3ced3a55b4a7e58/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/24bd3295cd3d4f5ba3ced3a55b4a7e58,"{""project"": ""added"", ""source"": ""play/dog_jenga.mp4"", ""name"": ""dog_jenga.mp4""}",2025-08-09T20:07:33.372036+00:00
video,added,play/dog_skateboarding2.mp4,f98fb4c502d34522ad462da04b67c64d,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/f98fb4c502d34522ad462da04b67c64d/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/f98fb4c502d34522ad462da04b67c64d,"{""project"": ""added"", ""source"": ""play/dog_skateboarding2.mp4"", ""name"": ""dog_skateboarding2.mp4""}",2025-08-09T20:07:38.301493+00:00
video,added,natural_tools/octopus_with_shells.mp4,5a4e8f3748234a72bb72cfc5087fcdf2,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/5a4e8f3748234a72bb72cfc5087fcdf2/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/5a4e8f3748234a72bb72cfc5087fcdf2,"{""project"": ""added"", ""source"": ""natural_tools/octopus_with_shells.mp4"", ""name"": ""octopus_with_shells.mp4""}",2025-08-09T20:07:46.802440+00:00
video,added,play/bear_jumping_with_child.mp4,b192ff5b91134120b7f46a7360478d05,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/b192ff5b91134120b7f46a7360478d05/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/b192ff5b91134120b7f46a7360478d05,"{""project"": ""added"", ""source"": ""play/bear_jumping_with_child.mp4"", ""name"": ""bear_jumping_with_child.mp4""}",2025-08-09T20:07:54.566392+00:00
video,added,natural_tools/magpie_water_displacement.mp4,4a1ff03598f345fa944fc571ed1dcb5f,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/4a1ff03598f345fa944fc571ed1dcb5f/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/4a1ff03598f345fa944fc571ed1dcb5f,"{""project"": ""added"", ""source"": ""natural_tools/magpie_water_displacement.mp4"", ""name"": ""magpie_water_displacement.mp4""}",2025-08-09T20:08:10.144061+00:00
video,added,play/deer_soccer_ball.mp4,8e8d18718d824a8aa5cfb428a556ca17,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/8e8d18718d824a8aa5cfb428a556ca17/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/8e8d18718d824a8aa5cfb428a556ca17,"{""project"": ""added"", ""source"": ""play/deer_soccer_ball.mp4"", ""name"": ""deer_soccer_ball.mp4""}",2025-08-09T20:08:14.629444+00:00
